branch,class,action
01-03-fix_separate_mcp_inference_handler_for_auth_consistency,upstream-mirror,delete
01-07-feat_plugin_schemas_segregation_for_mcp_plugins,upstream-mirror,delete
01-08-feat_extended_governance_plugin_for_mcp_calls,upstream-mirror,delete
01-08-feat_logging_plugin_extended_for_mcp_requests,upstream-mirror,delete
01-12-feat_mcp_tests_added,upstream-mirror,delete
01-13-introducing_secretkey,upstream-mirror,delete
01-14-feat_added_support_for_code_execution_tool,upstream-mirror,delete
01-14-test-coverage,upstream-mirror,delete
01-15-adds_prehook_posthook_for_http,upstream-mirror,delete
01-15-adds_realtime_sync_flow,upstream-mirror,delete
01-15-feat_add_multi_model_support_for_core_test_scenarios,upstream-mirror,delete
01-15-fix_minor_governance_plugin_fixes,upstream-mirror,delete
01-16-rereleasing_http,upstream-mirror,delete
01-20-dashboard,upstream-mirror,delete
01-24-feat_add_oauth_support_to_mcp,upstream-mirror,delete
01-24-mcp_auth_server_setup,upstream-mirror,delete
01-26-code_mode_compact_signatures,upstream-mirror,delete
01-27-mcp_flow_refactoring,upstream-mirror,delete
01-28-mcp_tool_groups,upstream-mirror,delete
01-28-prompt_repository_changes,upstream-mirror,delete
02-06-feat_added_support_for_image_inferences_in_maxim_plugin,upstream-mirror,delete
02-06-feat_added_support_for_tool_calls_logs_for_mcp,upstream-mirror,delete
02-10-adds_json_schema_validations_for_config_loading_flow,upstream-mirror,delete
02-11-multiple_profiles_for_otel,upstream-mirror,delete
02-16-adding-pooling-for-bifrost-repsonses,upstream-mirror,delete
02-16-adds-batching-for-log-writes,upstream-mirror,delete
02-16-adds_posgres_setup_for_terraform,upstream-mirror,delete
02-16-streaming_perf_test_and_improvements,upstream-mirror,delete
02-18-feat_docs_for_video_gen,upstream-mirror,delete
02-23-fix_potential_nil_deref_in_preparespeechrequest,upstream-mirror,delete
03-03-feat_prompt-playground-ui-components,upstream-mirror,delete
03-05-feat_shifted_to_anthropic_endpoints_in_bedrock_for_claude_models,upstream-mirror,delete
03-05-fix_removed_create_plugin_flow_from_updateplugin,upstream-mirror,delete
03-05-forward_sse_errors_as_is_vs_sending_back_200,upstream-mirror,delete
03-10-fix_backwards_compact_with_config.json_loading_for_vk_changes,upstream-mirror,delete
03-11-feat_adds_support_for_multiple_weighted_routing_targets_for_probabilistic_routing,upstream-mirror,delete
03-11-fix_goroutine_leak_on_context_cancellation,upstream-mirror,delete
03-12-fix_round_off_cost_to_6_decimals_in_ui,upstream-mirror,delete
03-13-feat_litellmcompat_chat_to_responses,upstream-mirror,delete
03-13-fix_ui-ux-issues-improvements_in_prompt_playground,upstream-mirror,delete
03-14-new_span_based_logging_flow,upstream-mirror,delete
